 numero_reimpresiones, puntos_vta1anio_total, materia3, tirada, ejemplares_distribuidos_en_novedad, obsequios, pvp, reimpresiones, editorial, materia2, encuadernacion, venta_total, semanas_venta, coleccion, puntos_vta_total, materia1
50,102,,2075,869,6,   13.94,1,UDLU63,,3,179,166,UDLU63002,111,15
0,145,,2025,914,6,   11.44,0,UDLU63,,3,407,166,UDLU63001,178,15
50,167,,2075,939,6,   12.40,1,UDLU63,,2,427,165,UDLU63001,191,15
144,165,,2144,935,6,   12.40,2,UDLU63,,2,453,193,UDLU63001,189,15
13,196,,2013,1184,8,   13.37,1,UDLU63,811,2,1147,194,UDLU63001,281,14
0,43,,150,111,7,   12.98,0,UDLU62,,3,55,56,UDLU62027,43,3
0,36,,150,99,7,   14.18,0,UDLU62,,3,92,56,UDLU62027,36,3
0,34,,150,97,7,   12.50,0,UDLU62,,3,41,53,UDLU62027,34,3
40,37,,190,117,7,   18.27,3,UDLU62,,3,79,54,UDLU62027,37,3
100,41,,250,134,7,   20.19,1,UDLU62,,3,120,56,UDLU62027,41,3
0,38,,150,104,7,   30.77,0,UDLU62,,3,27,56,UDLU62027,38,3
0,40,,150,108,7,   28.85,0,UDLU62,,3,40,56,UDLU62027,40,3
160,80,,385,233,7,   14.42,5,UDLU62,,3,217,65,UDLU62026,85,9
0,42,,325,145,7,   22.12,0,UDLU62,371,3,85,79,UDLU62025,49,81
0,44,,525,188,7,   22.12,0,UDLU62,371,3,39,75,UDLU62025,47,81
0,37,,225,112,7,   21.15,0,UDLU62,,3,31,79,UDLU62024,39,5
0,64,,625,298,7,    4.76,0,UDLU62,,3,42,68,UDLU62023,65,31
0,75,,625,310,7,    4.76,0,UDLU62,,3,48,68,UDLU62023,75,31
0,95,,825,369,7,    6.68,0,UDLU62,31,3,105,75,UDLU62023,98,9
0,88,,825,356,7,    4.76,0,UDLU62,5,3,43,75,UDLU62023,89,9
0,78,,825,369,7,    4.76,0,UDLU62,,3,68,81,UDLU62023,81,5
0,73,,825,350,7,    4.76,0,UDLU62,,3,45,81,UDLU62023,74,3
0,102,,825,452,7,    4.76,0,UDLU62,31,3,136,86,UDLU62023,103,62
0,102,,827,453,7,    4.76,0,UDLU62,31,3,151,86,UDLU62023,104,62
0,50,,225,155,7,   22.07,0,UDLU62,,3,77,95,UDLU62022,54,31
350,196,,1075,638,7,   15.87,3,UDLU62,,3,543,100,UDLU62021,207,13
0,51,,225,121,7,   15.38,0,UDLU62,,3,43,62,UDLU62020,52,5
0,26,,864,266,6,   26.92,0,UDLU62,,2,38,134,UDLU62020,32,5
0,30,,325,128,5,   23.08,0,UDLU62,,2,26,148,UDLU62020,34,13
50,70,,1575,782,6,    6.63,1,UDLU62,,3,290,143,UDLU62019,76,5
50,50,,1875,622,6,    6.63,1,UDLU62,,3,54,157,UDLU62019,56,32
0,53,,225,126,7,   19.71,0,UDLU62,,3,37,66,UDLU62018,54,9
0,31,,225,105,7,   18.51,0,UDLU62,,3,38,81,UDLU62018,33,9
0,35,,225,109,7,   17.79,0,UDLU62,,3,27,87,UDLU62018,37,9
0,34,,225,112,7,   17.26,0,UDLU62,9,3,20,94,UDLU62018,40,131
0,36,,225,119,7,   18.75,0,UDLU62,,3,29,93,UDLU62018,40,5
0,39,,225,109,7,   17.55,0,UDLU62,,3,32,99,UDLU62018,43,5
0,44,,225,116,7,   21.88,0,UDLU62,,3,22,98,UDLU62018,48,31
0,35,,225,102,7,   18.75,0,UDLU62,,3,26,99,UDLU62018,41,5
0,36,,225,102,7,   18.22,0,UDLU62,,3,62,100,UDLU62018,40,5
0,40,,224,103,6,   18.99,0,UDLU62,,3,70,100,UDLU62018,43,5
0,37,,225,103,6,   17.79,0,UDLU62,,3,30,100,UDLU62018,39,5
0,29,,225,97,6,   17.55,0,UDLU62,,3,22,108,UDLU62018,31,62
0,35,,225,111,6,   17.79,0,UDLU62,,3,23,108,UDLU62018,38,62
0,50,,325,189,6,   22.12,0,UDLU62,,3,124,109,UDLU62018,58,5
25,34,,250,104,6,   18.51,1,UDLU62,,3,28,110,UDLU62018,37,62
0,41,,225,110,6,   20.19,0,UDLU62,,3,58,98,UDLU62018,45,5
0,36,,225,105,6,   22.84,0,UDLU62,,3,36,110,UDLU62018,39,5
0,33,,225,153,6,   20.19,0,UDLU62,131,3,40,110,UDLU62018,35,5
0,38,,225,107,6,   23.08,0,UDLU62,,3,32,116,UDLU62018,43,5
0,37,,525,194,6,   25.96,0,UDLU62,,3,40,116,UDLU62018,41,51
0,39,,380,201,6,   16.35,0,UDLU62,131,2,90,135,UDLU62018,44,5
0,29,,525,220,6,   18.27,0,UDLU62,,2,202,160,UDLU62018,37,131
0,36,,300,125,6,   34.62,0,UDLU62,5,2,28,156,UDLU62018,37,13
0,42,,225,150,7,   17.26,0,UDLU62,,3,92,95,UDLU62017,45,5
0,58,,525,224,6,   22.12,0,UDLU62,,3,146,118,UDLU62017,61,3
0,64,,1026,313,6,   19.23,0,UDLU62,,2,174,138,UDLU62017,73,5
0,38,,300,143,6,   46.15,0,UDLU62,,2,67,163,UDLU62017,49,5
75,38,,150,72,7,    7.69,2,UDLU62,,3,63,82,UDLU62016,39,421
25,54,,1550,545,6,   13.94,1,UDLU62,,2,201,176,UDLU62016,59,PA
0,54,,925,418,6,   15.34,0,UDLU62,,3,149,151,UDLU62015,60,13
0,43,,925,337,6,   15.29,0,UDLU62,,3,47,144,UDLU62015,47,5
0,36,,925,314,6,    7.60,0,UDLU62,,3,68,150,UDLU62015,39,111
0,38,,925,333,6,    7.21,0,UDLU62,,3,19,152,UDLU62015,41,121
25,102,,850,462,6,    9.52,2,UDLU62,,3,821,178,UDLU62015,126,13
0,74,,925,386,6,    8.65,0,UDLU62,,3,116,184,UDLU62015,80,13
15,65,,915,360,6,    9.13,2,UDLU62,,3,97,186,UDLU62015,68,13
3,47,,903,316,6,   11.06,1,UDLU62,,3,77,180,UDLU62015,51,13
11,46,,911,330,6,    9.13,3,UDLU62,,3,46,179,UDLU62015,50,13
9,45,,909,315,6,    8.65,1,UDLU62,31,3,97,187,UDLU62015,50,13
16,98,,916,465,6,    9.62,1,UDLU62,,3,462,187,UDLU62015,108,13
0,35,,1525,481,6,   16.35,0,UDLU62,92,2,90,183,UDLU62014,41,13
0,38,,1525,484,6,   16.35,0,UDLU62,92,2,52,183,UDLU62014,43,13
0,39,,1525,487,6,   16.35,0,UDLU62,92,3,47,183,UDLU62014,44,13
0,39,,1525,486,6,   16.35,0,UDLU62,92,2,43,183,UDLU62014,45,13
229,36,,1754,491,6,   16.35,1,UDLU62,92,2,48,183,UDLU62014,42,13
0,40,,1525,488,6,   16.35,0,UDLU62,92,2,73,184,UDLU62014,47,13
10,37,,1535,499,6,   16.35,1,UDLU62,92,2,191,183,UDLU62014,43,13
0,37,,1525,484,6,   16.35,0,UDLU62,92,2,38,183,UDLU62014,43,13
11,49,,1511,509,6,   16.35,2,UDLU62,,2,66,189,UDLU62014,55,92
5,53,,1505,495,6,   16.35,1,UDLU62,,2,68,189,UDLU62014,60,92
0,99,,825,454,0,    4.76,0,UDLU62,,3,84,88,UDLU62013,100,5
11,2,,14,7,0,   47.12,2,UDLU62,,,1,191,UDLU62013,5,5
93,2,,96,28,0,   31.73,2,UDLU62,,,-3,190,UDLU62013,6,5
0,1,,2,3,0,   28.85,0,UDLU62,,,1,107,UDLU62013,2,5
1,3,,8,15,0,   20.19,1,UDLU62,,,7,192,UDLU62013,9,5
0,1,,4,13,0,   33.65,0,UDLU62,,,11,165,UDLU62013,3,5
0,1,,8,1,0,   23.08,0,UDLU62,,,1,47,UDLU62012,1,
0,2,,10,13,0,   10.58,0,UDLU62,,,1,83,UDLU62012,4,811
26,72,,1526,555,6,   18.27,3,UDLU62,,2,177,184,UDLU62012,80,8
0,1,,2,1,0,   40.38,0,UDLU62,,,1,0,UDLU62012,1,8
0,1,,2,3,0,   24.04,0,UDLU62,,,1,104,UDLU62012,2,8
0,33,,225,119,7,   18.75,0,UDLU62,,3,46,82,UDLU62011,34,5
0,39,,225,114,7,   12.02,0,UDLU62,,3,31,80,UDLU62011,41,36
0,32,,225,110,7,   17.26,0,UDLU62,,3,37,88,UDLU62011,34,5
0,36,,225,115,9,   16.25,0,UDLU62,,3,42,98,UDLU62011,38,9
13,41,,1513,479,6,   13.46,1,UDLU62,,2,31,189,UDLU62011,45,5
0,40,,1500,480,6,   13.46,0,UDLU62,,2,28,189,UDLU62011,44,5
0,42,,1000,372,6,   18.27,0,UDLU62,,2,111,196,UDLU62011,49,5
0,46,,225,121,7,   17.55,0,UDLU62,,3,33,54,UDLU62010,46,36
0,68,,225,143,8,   18.27,0,UDLU62,,3,158,64,UDLU62010,68,9
0,102,,425,283,7,   17.26,0,UDLU62,,3,163,68,UDLU62010,105,36
0,58,,425,190,7,   18.75,0,UDLU62,,3,75,67,UDLU62010,59,9
0,55,,225,141,7,   21.15,0,UDLU62,,3,138,90,UDLU62010,60,36
10,34,,235,131,7,   17.21,1,UDLU62,,3,103,97,UDLU62010,43,36
0,33,,1525,484,6,   13.46,0,UDLU62,,2,44,152,UDLU62010,38,371
0,46,,1525,507,6,   15.29,0,UDLU62,,2,170,149,UDLU62010,50,371
0,48,,1500,501,6,   18.27,0,UDLU62,,2,67,187,UDLU62010,52,371
375,60,,600,153,7,   15.87,5,UDLU62,,3,175,54,UDLU62009,60,31
0,62,,525,253,7,   16.35,0,UDLU62,,3,294,85,UDLU62009,74,31
0,95,,825,456,0,    4.76,0,UDLU62,,3,128,89,UDLU62009,98,5
0,52,,425,193,7,   14.90,0,UDLU62,,3,54,90,UDLU62009,52,31
25,88,,525,253,31,   10.58,1,UDLU62,,3,112,119,UDLU62009,91,31
10,81,,1535,568,6,   33.65,1,UDLU62,13,2,208,184,UDLU62009,93,31
188,80,,1535,546,6,   39.42,2,UDLU62,,2,351,196,UDLU62009,88,13
0,70,,225,170,7,   18.99,0,UDLU62,,3,63,56,UDLU62008,71,3
0,73,,225,172,7,   16.83,0,UDLU62,,3,59,56,UDLU62008,74,3
0,61,,225,142,7,   31.73,0,UDLU62,,3,37,64,UDLU62008,62,5
0,108,,825,526,0,    4.76,0,UDLU62,,3,52,88,UDLU62008,110,5
0,110,,825,528,0,    4.76,0,UDLU62,,3,42,89,UDLU62008,112,5
0,118,,825,538,0,    4.76,0,UDLU62,,3,82,89,UDLU62008,119,5
0,117,,825,536,0,    4.76,0,UDLU62,,3,73,86,UDLU62008,118,5
0,31,,300,133,6,   24.04,0,UDLU62,,2,32,162,UDLU62008,37,5
0,1,,10,11,0,   50.96,0,UDLU62,8,,1,134,UDLU62008,2,5
21,74,,1546,570,6,   11.06,2,UDLU62,,2,157,199,UDLU62008,89,131
2,39,,1527,509,6,   30.77,1,UDLU62,,2,41,199,UDLU62008,45,5
10,82,,235,184,7,   16.83,1,UDLU62,,3,78,56,UDLU62006,82,5
0,51,,225,125,7,   18.27,0,UDLU62,,3,50,62,UDLU62006,51,5
0,44,,525,206,6,   16.83,0,UDLU62,,3,43,98,UDLU62006,46,5
0,65,,1525,569,6,   24.04,0,UDLU62,,3,328,137,UDLU62006,89,4
0,113,,1525,698,6,   21.15,0,UDLU62,,2,241,159,UDLU62006,120,12
0,32,,1525,430,6,   15.38,0,UDLU62,131,2,84,157,UDLU62006,38,5
50,71,,1875,661,6,    4.81,1,UDLU62,,3,43,156,UDLU62006,73,63
0,87,,1525,759,6,    9.52,0,UDLU62,,3,280,156,UDLU62006,89,5
5,122,,1530,879,6,    9.52,1,UDLU62,,2,52,167,UDLU62006,125,5
0,34,,300,129,6,   30.77,0,UDLU62,,2,37,168,UDLU62006,36,5
25,51,,1550,519,6,   31.73,1,UDLU62,,2,225,171,UDLU62006,66,43
0,45,,1525,523,6,   28.37,0,UDLU62,,3,43,177,UDLU62006,58,5
0,40,,1525,500,6,   29.81,0,UDLU62,,2,66,182,UDLU62006,43,5
0,57,,1040,374,6,   14.42,0,UDLU62,4,3,58,185,UDLU62006,61,5
4,2,,8,6,0,   35.58,2,UDLU62,,,3,147,UDLU62006,3,5
3,2,,8,12,0,   27.88,1,UDLU62,,,3,183,UDLU62006,4,5
2,3,,7,11,0,   27.88,1,UDLU62,,,2,183,UDLU62006,4,5
452,46,,1531,504,6,   19.13,3,UDLU62,,2,44,197,UDLU62006,53,5
0,38,,825,297,6,   46.15,0,UDLU62,,2,74,198,UDLU62006,43,5
12,45,,1512,500,6,   12.40,2,UDLU62,5,2,142,201,UDLU62006,51,41
70,53,,295,196,7,   12.98,3,UDLU62,,3,123,55,UDLU62005,53,5
22,79,431,1522,548,6,   24.04,3,UDLU62,243,2,245,201,UDLU62005,92,241
150,55,,225,130,7,   24.04,1,UDLU62,,3,72,63,UDLU62004,56,55
0,56,,225,137,7,   22.12,0,UDLU62,,3,74,99,UDLU62004,58,
0,56,,1525,507,6,   31.73,0,UDLU62,,2,133,185,UDLU62004,63,5
32,79,,1532,535,6,   43.27,3,UDLU62,,2,209,200,UDLU62004,90,5
0,54,,425,189,7,   12.02,0,UDLU62,,3,59,67,UDLU62003,56,4
0,39,,525,188,8,   12.40,0,UDLU62,,3,43,83,UDLU62003,39,5
0,37,,225,115,7,   20.19,0,UDLU62,,3,35,87,UDLU62003,37,5
0,35,,225,108,7,   20.19,0,UDLU62,,3,35,92,UDLU62003,36,5
0,68,,525,260,6,   18.27,0,UDLU62,,3,75,117,UDLU62003,74,52
25,34,,525,212,28,   33.65,2,UDLU62,,3,77,118,UDLU62003,41,44
2,48,,1502,503,6,   20.19,1,UDLU62,5,2,53,195,UDLU62003,56,43
0,46,,175,104,7,   16.25,0,UDLU62,,3,29,55,UDLU62002,47,5
0,75,,225,182,7,   16.35,0,UDLU62,,3,53,68,UDLU62002,75,5
0,70,,425,211,7,   16.59,0,UDLU62,,3,88,86,UDLU62002,73,9
0,111,,825,527,0,    4.76,0,UDLU62,,3,56,88,UDLU62002,112,5
0,38,,325,153,6,   20.19,0,UDLU62,,3,74,109,UDLU62002,43,5
202,39,,700,215,31,   34.62,4,UDLU62,,3,153,119,UDLU62002,48,67
0,80,,1525,582,6,   24.04,0,UDLU62,,2,106,137,UDLU62002,90,92
0,88,,1528,606,7,   22.12,0,UDLU62,43,2,308,153,UDLU62002,113,67
9,69,,1534,532,6,   14.33,1,UDLU62,,2,62,160,UDLU62002,73,92
40,66,,1565,573,6,   22.12,1,UDLU62,,2,202,169,UDLU62002,82,67
0,0,,525,301,8,   17.21,0,UDLU62,,3,64,100,UDLU62002,89,67
0,83,,1525,579,6,   37.50,0,UDLU62,43,3,170,182,UDLU62002,96,67
0,93,,1525,591,6,   21.15,0,UDLU62,43,2,182,185,UDLU62002,102,67
0,1,,17,17,0,   27.88,0,UDLU62,,,1,48,UDLU62002,1,92
12,73,,1512,561,7,   18.27,2,UDLU62,43,2,139,202,UDLU62002,84,67
0,1,,2,2,0,   35.58,0,UDLU62,,,0,23,UDLU62001,2,
16,10,,116,33,0,   27.88,5,UDLU62,,,3,157,UDLU62001,13,
2,8,,102,21,0,   33.65,1,UDLU62,,,6,158,UDLU62001,11,
7,8,,107,30,0,   25.00,2,UDLU62,,,28,196,UDLU62001,15,
18,11,,118,40,0,   31.73,4,UDLU62,,,18,165,UDLU62001,15,
20,11,,120,42,0,   37.50,4,UDLU62,,,4,199,UDLU62001,17,
10,4,,12,17,0,   22.11,3,UDLU62,,,1,188,UDLU62001,7,
15,3,,17,19,0,   28.84,2,UDLU62,,,2,185,UDLU62001,7,
3,5,,4,8,0,   26.92,1,UDLU62,,,-2,172,UDLU62001,8,
22,6,,24,24,2,   36.54,2,UDLU62,,,3,175,UDLU62001,10,
19,15,,119,48,0,   26.92,4,UDLU62,,,21,163,UDLU62001,21,
143,12,,143,38,0,   28.85,9,UDLU62,,,93,197,UDLU62001,25,
11,10,,111,33,0,   32.69,3,UDLU62,,,17,198,UDLU62001,15,
114,9,,114,45,0,   33.65,6,UDLU62,,,36,195,UDLU62001,11,
18,10,,118,49,0,   26.92,6,UDLU62,,,19,169,UDLU62001,12,
23,10,,123,41,0,   41.35,4,UDLU62,,,7,159,UDLU62001,13,
35,16,,135,65,0,   31.73,4,UDLU62,,,26,196,UDLU62001,23,
128,9,,128,22,0,   26.92,3,UDLU62,,,51,200,UDLU62001,16,
17,10,,117,34,0,   27.88,4,UDLU62,,,3,172,UDLU62001,12,
19,10,,119,39,0,   23.08,5,UDLU62,,,11,159,UDLU62001,14,
31,15,,131,47,0,   37.50,5,UDLU62,,,57,199,UDLU62001,20,
27,9,,127,42,0,   21.15,5,UDLU62,,,7,201,UDLU62001,15,
24,7,,124,43,0,   27.88,4,UDLU62,,,34,202,UDLU62001,14,
14,9,,114,38,0,   33.65,2,UDLU62,,,3,158,UDLU62001,17,
27,13,,127,41,0,   23.08,5,UDLU62,,,32,198,UDLU62001,17,
9,14,,109,67,0,   23.08,2,UDLU62,,,57,199,UDLU62001,24,
348,14,,448,41,0,   24.04,13,UDLU62,,,348,199,UDLU62001,21,
37,11,,137,57,0,   22.11,4,UDLU62,,,6,159,UDLU62001,15,
31,18,,131,61,0,   25.00,3,UDLU62,,,14,188,UDLU62001,24,
21,13,,121,48,0,   22.11,3,UDLU62,,,11,177,UDLU62001,21,
17,10,,117,36,0,   22.11,3,UDLU62,,,3,185,UDLU62001,17,
81,15,,181,107,0,   25.96,6,UDLU62,,,150,194,UDLU62001,27,
22,12,,122,49,0,   22.11,4,UDLU62,,,34,202,UDLU62001,18,
71,10,,171,89,0,   16.35,6,UDLU62,,,115,203,UDLU62001,20,
27,11,,127,68,0,   40.38,4,UDLU62,,,84,200,UDLU62001,18,
2,8,,102,23,0,   40.38,1,UDLU62,,,5,156,UDLU62001,13,
4,11,,104,41,0,   46.15,1,UDLU62,,,53,193,UDLU62001,24,
87,11,,187,79,0,   24.04,9,UDLU62,,,118,202,UDLU62001,22,
79,19,,179,60,0,   26.92,8,UDLU62,,,137,202,UDLU62001,33,
17,11,,117,36,0,   25.96,4,UDLU62,,,6,196,UDLU62001,14,
20,10,,120,34,0,   36.54,3,UDLU62,,,24,200,UDLU62001,16,
15,11,,115,46,0,   23.08,3,UDLU62,,,12,202,UDLU62001,18,
11,10,,120,52,0,   41.35,2,UDLU62,,,10,203,UDLU62001,17,
2,4,,102,15,0,   34.62,1,UDLU62,,,3,190,UDLU62001,5,
91,13,,191,108,0,   27.88,7,UDLU62,,,61,194,UDLU62001,22,
24,21,,124,64,0,   27.88,6,UDLU62,,,49,188,UDLU62001,33,
38,15,,138,53,0,   24.03,8,UDLU62,,,8,188,UDLU62001,21,
2,6,,102,22,0,   28.84,1,UDLU62,,,10,176,UDLU62001,12,
2,8,,102,18,0,   28.85,1,UDLU62,,,2,198,UDLU62001,10,
5,10,,105,23,0,   34.62,3,UDLU62,,,4,175,UDLU62001,15,
37,3,,39,12,0,   30.77,4,UDLU62,,,4,202,UDLU62001,8,
12,3,,13,6,0,   41.35,2,UDLU62,,,3,149,UDLU62001,8,
2,8,,106,23,0,   24.04,1,UDLU62,,,13,201,UDLU62001,14,
2,7,,102,20,0,   23.08,1,UDLU62,,,6,194,UDLU62001,9,
2,10,,102,20,0,   34.61,1,UDLU62,,,4,173,UDLU62001,12,
5,8,,105,25,0,   36.54,3,UDLU62,,,4,203,UDLU62001,14,
3,7,,103,19,0,   35.58,2,UDLU62,,,1,194,UDLU62001,9,
2,7,,102,22,0,   28.84,1,UDLU62,,,2,157,UDLU62001,12,
4,7,,104,22,0,   23.08,2,UDLU62,,,4,188,UDLU62001,11,
1,8,,101,22,0,   43.27,1,UDLU62,,,2,203,UDLU62001,12,
3,7,,103,25,0,   41.35,2,UDLU62,,,4,188,UDLU62001,14,
22,6,,23,10,0,   43.27,3,UDLU62,,,6,190,UDLU62001,10,
13,9,,113,34,0,   36.54,4,UDLU62,,,8,199,UDLU62001,16,
33,13,,133,51,0,   23.08,7,UDLU62,,,1,203,UDLU62001,19,
34,16,,134,65,0,   35.58,7,UDLU62,,,104,203,UDLU62001,27,
12,10,,112,40,0,   21.15,3,UDLU62,,,39,202,UDLU62001,19,
20,11,,120,32,0,   30.77,3,UDLU62,,,14,192,UDLU62001,15,
13,9,,113,35,0,   40.38,3,UDLU62,,,18,203,UDLU62001,16,
49,14,,149,72,0,   35.58,6,UDLU62,,,12,188,UDLU62001,24,
13,12,,113,39,0,   26.92,4,UDLU62,,,18,188,UDLU62001,20,
8,8,,108,21,0,   25.96,3,UDLU62,,,4,182,UDLU62001,11,
21,7,,121,30,0,   40.38,3,UDLU62,,,7,202,UDLU62001,15,
4,11,,103,26,0,   25.00,2,UDLU62,,,13,197,UDLU62001,16,
3,10,,103,26,0,   23.08,2,UDLU62,,,15,198,UDLU62001,15,
17,11,,117,38,0,   33.65,4,UDLU62,,,16,182,UDLU62001,15,
22,12,,122,39,0,   31.73,4,UDLU62,,,19,188,UDLU62001,16,
31,6,,33,18,0,   24.04,3,UDLU62,,,5,175,UDLU62001,7,
78,12,,178,66,0,   31.73,6,UDLU62,,,129,188,UDLU62001,15,
43,7,,143,25,0,   31.73,6,UDLU62,,,14,188,UDLU62001,10,
14,12,,114,32,0,   33.65,4,UDLU62,,,2,185,UDLU62001,15,
3,14,,103,25,0,   22.11,2,UDLU62,,,14,190,UDLU62001,17,
24,18,,124,57,0,   31.73,4,UDLU62,,,104,203,UDLU62001,37,
3,11,,103,26,0,   21.15,2,UDLU62,,,10,175,UDLU62001,14,
5,9,,105,23,0,   21.15,2,UDLU62,,,11,158,UDLU62001,11,
3,7,,103,22,0,   25.96,2,UDLU62,,,3,157,UDLU62001,11,
21,10,,121,35,0,   47.11,4,UDLU62,,,5,203,UDLU62001,14,
100,5,,100,16,0,   36.54,1,UDLU62,,,22,170,UDLU62001,10,
66,13,,165,42,0,   26.92,5,UDLU62,,,32,197,UDLU62001,21,
9,10,,109,36,0,   25.00,3,UDLU62,,,45,202,UDLU62001,20,
12,9,,112,30,0,   34.61,3,UDLU62,,,2,188,UDLU62001,12,
4,8,,104,22,0,   38.46,3,UDLU62,,,8,188,UDLU62001,12,
47,12,,147,63,0,   35.58,5,UDLU62,,,129,201,UDLU62001,27,
44,12,,144,36,0,   18.27,7,UDLU62,,,30,169,UDLU62001,15,
28,11,,128,45,0,   29.81,6,UDLU62,,,7,156,UDLU62001,15,
9,9,,109,27,0,   40.38,2,UDLU62,,,9,202,UDLU62001,12,
11,10,,111,36,0,   25.00,3,UDLU62,,,7,195,UDLU62001,17,
16,11,,116,42,0,   26.92,2,UDLU62,,,28,159,UDLU62001,17,
71,8,,171,46,0,   28.84,8,UDLU62,,,17,193,UDLU62001,18,
21,10,,121,57,0,   25.96,4,UDLU62,,,42,188,UDLU62001,16,
59,11,,159,45,0,   19.23,7,UDLU62,,,11,198,UDLU62001,13,
12,7,,112,25,0,   11.53,3,UDLU62,,,50,196,UDLU62001,9,
19,7,,20,18,0,   40.38,5,UDLU62,,,8,203,UDLU62001,11,
17,11,,117,51,0,   38.46,4,UDLU62,,,37,176,UDLU62001,19,
18,7,,118,28,0,   26.92,5,UDLU62,,,9,198,UDLU62001,10,
63,13,,163,49,0,   24.04,6,UDLU62,,,96,186,UDLU62001,25,
13,11,,113,38,0,   30.76,3,UDLU62,,,8,202,UDLU62001,15,
32,10,,132,44,0,   27.88,5,UDLU62,,,18,200,UDLU62001,17,
20,11,,120,41,0,   27.88,5,UDLU62,,,8,196,UDLU62001,16,
23,14,,123,47,0,   26.92,5,UDLU62,,,80,202,UDLU62001,21,
21,12,,121,43,0,   25.96,4,UDLU62,,,8,191,UDLU62001,17,
88,12,,88,30,0,   32.69,2,UDLU62,,,16,201,UDLU62001,16,
297,13,,397,95,0,   27.88,17,UDLU62,,,330,200,UDLU62001,19,
83,15,,183,83,0,   34.61,6,UDLU62,,2,119,193,UDLU62001,23,
51,46,,1551,449,6,   35.58,2,UDLU62,,2,56,200,UDLU62001,54,
20,9,,120,83,0,   26.92,3,UDLU62,,,76,168,UDLU62001,14,
2,8,,102,21,0,   38.46,1,UDLU62,,,6,157,UDLU62001,11,
95,9,,95,42,0,   26.92,2,UDLU62,,,51,198,UDLU62001,16,
17,14,,117,40,0,   24.04,4,UDLU62,,,52,199,UDLU62001,22,
2,7,,102,20,0,   21.15,1,UDLU62,,,9,185,UDLU62001,10,
113,13,,213,129,0,   19.23,6,UDLU62,,,25,202,UDLU62001,23,
11,11,,111,34,0,   36.64,2,UDLU62,,,4,198,UDLU62001,16,
10,5,,12,11,0,   40.38,1,UDLU62,,,-1,169,UDLU62001,8,
79,21,,179,56,0,   23.08,7,UDLU62,,,106,201,UDLU62001,36,
58,21,,158,69,0,   27.88,5,UDLU62,,,131,201,UDLU62001,31,
215,15,,215,47,0,   16.35,11,UDLU62,,,140,201,UDLU62001,31,
94,16,,194,50,0,   32.69,7,UDLU62,,,132,193,UDLU62001,21,
20,17,,120,80,0,   36.54,5,UDLU62,,,49,203,UDLU62001,24,
37,14,,137,70,0,   37.50,7,UDLU62,,,65,198,UDLU62001,30,
36,14,,136,46,0,   24.04,7,UDLU62,,,25,199,UDLU62001,25,
41,19,,141,62,0,   24.03,8,UDLU62,,,106,201,UDLU62001,34,
47,11,,147,43,0,   50.00,3,UDLU62,,,110,173,UDLU62001,18,
23,16,,123,39,0,   24.04,5,UDLU62,,,43,203,UDLU62001,24,
27,11,,127,61,0,    9.61,5,UDLU62,,,-1,194,UDLU62001,19,
34,14,,134,44,0,   20.19,5,UDLU62,,,22,199,UDLU62001,22,
44,7,,144,31,0,   40.38,6,UDLU62,,,3,194,UDLU62001,9,
31,16,,131,81,0,   21.15,5,UDLU62,,,24,202,UDLU62001,25,
29,11,,129,42,0,   26.92,5,UDLU62,,,5,195,UDLU62001,18,
27,18,,127,69,7,   37.50,5,UDLU62,,,56,201,UDLU62001,46,
22,15,,122,44,0,   22.12,6,UDLU62,,,9,203,UDLU62001,24,
14,10,,114,54,0,   23.08,3,UDLU62,,,49,198,UDLU62001,14,
43,8,,143,30,0,   30.77,6,UDLU62,,,25,194,UDLU62001,12,5
145,22,,245,119,0,   23.07,11,UDLU62,,,4,199,UDLU62001,34,
60,22,,160,90,0,   27.88,5,UDLU62,,,49,202,UDLU62001,34,
128,13,,128,50,0,   21.15,7,UDLU62,,,19,194,UDLU62001,18,
47,16,,147,63,0,   19.23,9,UDLU62,,,-14,194,UDLU62001,30,
71,27,,169,84,0,   21.15,7,UDLU62,,,-2,199,UDLU62001,38,
45,12,,189,58,0,   17.31,8,UDLU62,,,-10,194,UDLU62001,20,
75,14,,175,84,0,   26.92,9,UDLU62,,,20,201,UDLU62001,20,
54,12,,154,70,0,   13.46,6,UDLU62,,,-5,194,UDLU62001,16,
45,10,,145,53,0,   13.46,6,UDLU62,,,-2,203,UDLU62001,14,
90,15,,190,73,0,    8.65,7,UDLU62,,,13,194,UDLU62001,18,
66,18,,166,44,0,   34.62,7,UDLU62,,,1,188,UDLU62001,24,
5,45,,1505,486,6,   31.73,1,UDLU62,,2,158,195,UDLU62001,54,
35,15,,135,39,1,   21.15,5,UDLU62,,,7,202,UDLU62001,22,92
12009,245,,15019,2484,18,   23.99,11,UDLU61,,3,12312,55,UDLU61002,245,16
1160,217,,2785,1257,7,   18.75,4,UDLU61,,3,837,98,UDLU61002,225,119
0,96,,625,299,6,   21.15,0,UDLU61,,3,279,104,UDLU61002,105,96
0,66,,1025,493,6,   18.99,0,UDLU61,119,3,224,150,UDLU61002,77,25
0,60,,1025,397,6,   12.02,0,UDLU61,13,3,59,140,UDLU61002,62,25
0,72,,1025,382,6,   24.04,0,UDLU61,,3,66,168,UDLU61002,77,25
12,35,,912,316,6,   16.25,2,UDLU61,,3,125,187,UDLU61002,40,25
