 numero_reimpresiones, puntos_vta1anio_total, materia3, tirada, ejemplares_distribuidos_en_novedad, obsequios, pvp, reimpresiones, editorial, materia2, encuadernacion, venta_total, semanas_venta, coleccion, puntos_vta_total, materia1
20,114,,1820,722,7,   17.31,1,UDLW09,,3,365,132,UDLW09003,131,15
80,156,,1880,952,6,   15.38,1,UDLW09,,2,446,130,UDLW09003,170,15
0,118,,1350,627,5,   15.38,0,UDLW09,93,3,104,107,UDLW09003,126,15
0,162,,1350,721,2,   11.54,0,UDLW09,,2,325,89,UDLW09004,178,15
1153,80,,1187,238,0,   19.23,34,UDLW10,,,408,136,UDLW10001,160,
890,46,,932,140,0,   15.38,32,UDLW10,,,90,136,UDLW10001,76,
1107,68,,1143,198,0,   16.83,28,UDLW10,,,167,136,UDLW10001,88,
1164,84,,1192,248,1,   15.38,31,UDLW10,,,272,136,UDLW10001,171,
2026,23,,2067,83,0,   19.23,30,UDLW10,,,43,136,UDLW10001,37,
629,51,,672,158,0,   16.83,26,UDLW10,,,145,136,UDLW10001,82,
1586,53,,1634,249,0,   19.23,33,UDLW10,,,89,136,UDLW10001,138,
449,58,,493,170,0,   18.27,31,UDLW10,,,147,136,UDLW10001,89,
1044,71,,1095,323,0,   17.31,30,UDLW10,,,138,137,UDLW10001,147,
1088,42,,1117,98,0,   13.46,25,UDLW10,,,66,135,UDLW10001,54,
1664,50,,1708,217,0,   16.83,35,UDLW10,,,37,136,UDLW10001,125,
4065,53,,4111,201,0,   21.15,40,UDLW10,,,47,136,UDLW10001,132,
581,41,,608,115,0,   17.31,28,UDLW10,,,159,136,UDLW10001,78,
1427,49,,1449,197,0,   17.31,32,UDLW10,,,374,136,UDLW10001,153,
1895,39,,1938,158,0,   19.23,30,UDLW10,,,6,136,UDLW10001,61,
577,51,,616,217,0,   18.27,32,UDLW10,,,156,136,UDLW10001,134,
939,50,,982,137,0,   21.15,30,UDLW10,,,93,136,UDLW10001,76,
1435,35,,1485,186,0,   16.83,35,UDLW10,,,146,136,UDLW10001,110,
1327,33,,1373,265,0,   19.23,36,UDLW10,,,-6,136,UDLW10001,108,
331,44,,352,116,0,   19.23,32,UDLW10,,,92,136,UDLW10001,64,
605,54,,641,139,0,   17.79,35,UDLW10,,0,123,136,UDLW10001,77,
1015,47,,1053,199,0,   21.63,32,UDLW10,,0,128,136,UDLW10001,129,
1120,42,,1161,81,0,   16.83,32,UDLW10,,0,71,136,UDLW10001,58,
1122,34,,1153,112,0,   17.79,29,UDLW10,,0,4,136,UDLW10001,47,
775,26,,834,127,0,   16.35,29,UDLW10,,3,14,136,UDLW10001,42,
1078,44,,1135,143,0,   18.27,34,UDLW10,,0,88,136,UDLW10001,65,
1184,46,,1215,164,0,   21.63,36,UDLW10,,0,47,136,UDLW10001,118,
1571,19,,1598,75,0,   19.23,30,UDLW10,,10,8,136,UDLW10001,33,
1050,39,,1079,113,0,   18.27,29,UDLW10,,0,24,136,UDLW10001,58,
1547,23,,1561,69,0,   22.12,34,UDLW10,,0,29,136,UDLW10001,37,
478,75,,491,204,0,   19.23,34,UDLW10,,0,161,136,UDLW10001,104,
466,50,,501,111,0,   17.79,32,UDLW10,,0,116,136,UDLW10001,72,
1210,39,,1238,110,0,   20.19,31,UDLW10,,0,34,136,UDLW10001,55,
558,61,,592,216,0,   19.23,32,UDLW10,,10,94,136,UDLW10001,134,
633,27,,661,112,0,   16.35,29,UDLW10,,0,17,136,UDLW10001,45,
242,49,,257,101,1,   21.63,30,UDLW10,,,74,136,UDLW10001,69,
371,55,,382,192,0,   16.83,28,UDLW10,,0,234,136,UDLW10001,82,
177,50,,195,109,0,   22.12,27,UDLW10,,0,97,132,UDLW10001,73,
277,78,,282,194,0,   24.04,24,UDLW10,,0,147,136,UDLW10001,104,
842,59,,867,231,0,   15.87,32,UDLW10,,0,71,137,UDLW10001,145,
1347,42,,1387,227,0,   19.23,30,UDLW10,,0,77,136,UDLW10001,127,
546,34,,616,182,0,   14.42,33,UDLW10,,0,-5,136,UDLW10001,54,
1382,43,,1395,160,0,   19.71,31,UDLW10,,0,35,136,UDLW10001,76,
1440,62,,1467,180,0,   17.79,30,UDLW10,,10,16,136,UDLW10001,99,
871,51,,888,163,0,   20.19,30,UDLW10,,0,-27,136,UDLW10001,83,
544,55,,553,267,0,   16.83,31,UDLW10,,0,56,136,UDLW10001,137,
1483,68,,1505,295,0,   16.83,30,UDLW10,,10,98,136,UDLW10001,140,
705,78,,730,280,0,   17.31,29,UDLW10,,10,6,137,UDLW10001,174,
841,120,,1041,344,0,   19.23,31,UDLW10,,,-10,137,UDLW10001,214,
